property_type,state_name,place_name,lat,lon,surface_total_in_m2,price_usd_per_m2
house,Córdoba,Villa Icho Cruz,-31.4722481,-64.5438995,700.0,221.42857142857144
house,Bs.As. G.B.A. Zona Norte,Pilar,-34.3985885729,-59.0199708939,350.0,314.2857142857143
apartment,Capital Federal,Flores,-34.6256447,-58.46111550000001,37.0,2168.108108108108
apartment,Capital Federal,Flores,-34.6256447,-58.46111550000001,41.0,1966.8292682926829
house,Bs.As. G.B.A. Zona Norte,Vicente López,-34.53257070000001,-58.4738032,175.0,1588.5714285714291
house,Capital Federal,Flores,-34.6390340301,-58.4531879425,214.0,1214.9532710280373
apartment,Capital Federal,Caballito,-34.6077814,-58.4453841,40.0,2356.8
house,Bs.As. G.B.A. Zona Oeste,Ciudadela,-34.577168,-58.538654,240.0,300.0
house,Bs.As. G.B.A. Zona Norte,San Andres,-34.5567660784,-58.5383942926,110.0,1681.8181818181818
PH,Bs.As. G.B.A. Zona Oeste,Tres de Febrero,-34.5804114,-58.5900585,180.0,472.22222222222223
apartment,Capital Federal,Centro / Microcentro,-34.603507,-58.37805940000001,27.0,2740.740740740741
apartment,Capital Federal,Villa Crespo,-34.594097999999995,-58.4410973,45.0,1622.2222222222226
apartment,Capital Federal,Villa Crespo,-34.596644899999994,-58.4383715,93.0,1387.0967741935485
apartment,Capital Federal,Once,-34.608623,-58.401925,70.0,1500.0
house,Capital Federal,Villa Lugano,-34.6681583,-58.4874554,64.0,1562.5
PH,Bs.As. G.B.A. Zona Oeste,Villa Bosch,-34.5768669,-58.5875688,120.0,541.6666666666666
apartment,Capital Federal,Once,-34.6082182434,-58.3960232683,36.0,1666.666666666667
apartment,Capital Federal,San Telmo,-34.6241975,-58.3698935,140.0,1714.2857142857142
apartment,Capital Federal,San Telmo,-34.617171899999995,-58.3702566,26.0,1807.692307692308
house,Bs.As. G.B.A. Zona Oeste,Tres de Febrero,-34.5837679,-58.5876828,350.0,357.1428571428572
house,Bs.As. G.B.A. Zona Oeste,Villa Luzuriaga,-34.6664465849,-58.592341095600005,250.0,380.0
apartment,Capital Federal,Flores,-34.6309302997,-58.4607626502,65.0,1615.3846153846155
apartment,Capital Federal,Almagro,-34.6094224924,-58.4187485282,75.0,1733.333333333333
apartment,Capital Federal,Balvanera,-34.616139399999994,-58.4110907,38.0,1800.0
apartment,Capital Federal,Belgrano,-34.56086989999999,-58.46054640000001,94.0,2936.170212765957
house,Capital Federal,Caballito,-34.624469299999994,-58.43446949999999,226.0,1282.3008849557525
house,Bs.As. G.B.A. Zona Sur,Florencio Varela,-34.7747547,-58.27830600000001,390.0,307.6923076923077
house,San Luis,San Luis,-33.2972100001,-66.34221174390001,240.0,625.0
apartment,Bs.As. G.B.A. Zona Oeste,Tres de Febrero,-34.6027226279,-58.527999423800004,26.0,1846.1538461538464
PH,Bs.As. G.B.A. Zona Norte,General San Martín,-34.5907091,-58.5359569,73.0,958.9041095890412
house,Capital Federal,Versalles,-34.62768,-58.5273728,448.0,1227.6785714285713
PH,Bs.As. G.B.A. Zona Norte,General San Martín,-34.590979,-58.5480498,50.0,600.0
apartment,Capital Federal,Palermo,-34.5902121,-58.423941000000006,88.0,2272.7272727272725
apartment,Capital Federal,Palermo,-34.5902121,-58.423941000000006,88.0,2272.7272727272725
apartment,Capital Federal,Nuñez,-34.5594438,-58.4817371,60.0,4083.333333333334
apartment,Capital Federal,Villa Lugano,-34.691165600000005,-58.4722456,65.0,1523.0769230769226
apartment,Capital Federal,Villa Lugano,-34.6870165,-58.4622115,50.0,1000.0
house,Buenos Aires Interior,Chivilcoy,-34.89620479999999,-60.01998100000001,550.0,172.72727272727272
house,Buenos Aires Interior,Carmen de Patagones,-40.777584812,-62.9917978362,363.0,440.7713498622589
house,Bs.As. G.B.A. Zona Oeste,Ituzaingó,-34.6450951,-58.6668134,300.0,466.66666666666674
apartment,Buenos Aires Costa Atlántica,San Clemente del Tuyú,-36.3553848,-56.71957020000001,38.0,1447.3684210526314
house,Capital Federal,Saavedra,-34.5524531,-58.4744801,115.0,1630.4347826086953
house,San Luis,San Luis,-33.315273661199996,-66.3088630477,300.0,2833.333333333333
PH,Bs.As. G.B.A. Zona Oeste,Ituzaingó,-34.6367407714,-58.695900030699995,96.0,781.25
house,Bs.As. G.B.A. Zona Oeste,Ituzaingó,-34.663722421399996,-58.6752662751,400.0,487.5
apartment,Bs.As. G.B.A. Zona Oeste,Morón,-34.659366799999994,-58.621489,33.0,1333.3333333333333
PH,Bs.As. G.B.A. Zona Norte,Villa Lynch,-34.5944001,-58.5334854,60.0,1333.3333333333333
PH,Bs.As. G.B.A. Zona Norte,Villa Ballester,-34.5412953521,-58.545262963,236.0,508.4745762711864
house,Bs.As. G.B.A. Zona Oeste,Ituzaingó,-34.6522484,-58.6834755,220.0,522.7272727272727
house,Bs.As. G.B.A. Zona Oeste,Castelar,-34.6720276,-58.66133879999999,440.0,261.3636363636364
house,Bs.As. G.B.A. Zona Oeste,Ituzaingó,-34.6496391,-58.69361120000001,300.0,516.6666666666666
house,Bs.As. G.B.A. Zona Oeste,Ituzaingó,-34.6529541,-58.6754608,220.0,704.5454545454545
PH,Bs.As. G.B.A. Zona Oeste,Ituzaingó,-34.638504,-58.6714897,98.0,867.3469387755102
house,Bs.As. G.B.A. Zona Oeste,Ituzaingó,-34.6538162,-58.68527220000001,400.0,462.5
house,Bs.As. G.B.A. Zona Oeste,Ituzaingó,-34.6578712,-58.688366,223.0,448.43049327354265
house,Bs.As. G.B.A. Zona Oeste,Ituzaingó,-34.6551476,-58.6728134,595.0,436.9747899159663
PH,Bs.As. G.B.A. Zona Oeste,Ituzaingó,-34.6548969,-58.6745335,120.0,833.3333333333335
apartment,Capital Federal,Chacarita,-34.5851903,-58.45394720000001,76.0,1705.2631578947367
store,Capital Federal,Monserrat,-34.6007609,-58.3914361,220.0,2704.5454545454545
apartment,Bs.As. G.B.A. Zona Oeste,Ituzaingó,-34.6606905,-58.6702404,120.0,916.6666666666664
house,Bs.As. G.B.A. Zona Norte,General San Martín,-34.5621493159,-58.5507561271,400.0,1000.0
apartment,Capital Federal,Palermo,-34.5902121,-58.423941000000006,40.0,2125.0
apartment,Capital Federal,Palermo,-34.5902121,-58.423941000000006,40.0,2375.0
PH,Bs.As. G.B.A. Zona Oeste,Ituzaingó,-34.6570243,-58.6753978,65.0,1230.7692307692307
