property_type,state_name,place_name,lat,lon,surface_total_in_m2,price_aprox_usd
apartment,Bs.As. G.B.A. Zona Sur,Lomas de Zamora,-34.763101,-58.400646,81.21376639626244,220000.0
house,Bs.As. G.B.A. Zona Norte,Pilar,-34.38885,-58.877363,209.2983845818635,165000.0
house,Bs.As. G.B.A. Zona Norte,Pilar,-34.392462,-58.864403,210.92085267939734,175000.0
house,Bs.As. G.B.A. Zona Norte,Pilar,-34.38885,-58.877363,236.88034223993856,175000.0
apartment,Bs.As. G.B.A. Zona Sur,Lomas de Zamora,-34.763101,-58.400646,60.36158313235722,160000.0
apartment,Bs.As. G.B.A. Zona Norte,Pilar,-34.424151,-58.844919,48.28926650588578,185000.0
apartment,Capital Federal,Saavedra,-34.54628,-58.47936600000001,60.36158313235722,134400.0
apartment,Capital Federal,Centro / Microcentro,-34.60755,-58.384137,42.801849857489664,78000.0
apartment,Capital Federal,Saavedra,-34.54628,-58.47936600000001,60.36158313235722,132700.0
apartment,Capital Federal,Palermo,-34.586013,-58.414427,72.43389975882866,205000.0
house,Bs.As. G.B.A. Zona Norte,Pilar,-34.446521000000004,-58.856313,32.44936195067651,280000.0
house,Bs.As. G.B.A. Zona Sur,Lanús,-34.72221500000001,-58.378,32.44936195067651,134900.0
house,Bs.As. G.B.A. Zona Sur,La Plata,-35.120663,-57.955592,301.7790661412916,395000.0
apartment,Capital Federal,San Telmo,-34.627417,-58.37237800000001,95.48104968209232,235000.0
apartment,Bs.As. G.B.A. Zona Norte,Olivos,-34.509934,-58.476813,60.36158313235722,153000.0
house,Bs.As. G.B.A. Zona Norte,San Miguel,-34.56328,-58.751321,32.44936195067651,25000.0
house,Bs.As. G.B.A. Zona Norte,Benavidez,-34.395048,-58.71498199999999,212.54332077693115,192000.0
apartment,Bs.As. G.B.A. Zona Norte,Tigre,-34.421355,-58.639355,50.48423316524422,119000.0
apartment,Bs.As. G.B.A. Zona Norte,Tigre,-34.421355,-58.639355,50.48423316524422,119000.0
apartment,Bs.As. G.B.A. Zona Norte,Belén de Escobar,-34.348699,-58.79140200000001,39.50939986845199,77000.0
house,Bs.As. G.B.A. Zona Norte,Tigre,-34.411637,-58.609855,292.0442575560886,190000.0
apartment,Capital Federal,Monserrat,-34.619411,-58.387980000000006,46.09429984652733,82000.0
apartment,Bs.As. G.B.A. Zona Norte,Olivos,-34.509934,-58.476813,60.36158313235722,162700.0
apartment,Bs.As. G.B.A. Zona Norte,Olivos,-34.509934,-58.476813,122.91813292407288,365000.0
house,Bs.As. G.B.A. Zona Oeste,Moreno,-34.599868,-58.854575,447.8011949193359,375000.0
house,Bs.As. G.B.A. Zona Norte,Benavidez,-34.384954,-58.683386,129.79744780270605,98000.0
apartment,Bs.As. G.B.A. Zona Norte,Tigre,-34.395986,-58.706836,136.08793288022355,189000.0
house,Capital Federal,Villa Pueyrredón,-34.59273,-58.500046,433.19898204153145,360000.0
apartment,Capital Federal,Villa Devoto,-34.603277,-58.525425,47.19178317620655,104000.0
apartment,Capital Federal,Retiro,-34.599232,-58.374782,43.899333187168885,119000.0
apartment,Capital Federal,Balvanera,-34.6509477997,-58.4533177535,39.50939986845199,69800.0
house,Capital Federal,Boedo,-34.635736,-58.418655,438.0663863341329,330000.0
apartment,Santa Fe,Santa Fe,-31.589895,-60.699327,51.58171649492344,39258.57
house,Bs.As. G.B.A. Zona Oeste,Castelar,-34.662681,-58.651886,32.44936195067651,143000.0
apartment,Bs.As. G.B.A. Zona Sur,Almirante Brown,-34.7974,-58.38235600000001,74.6288664181871,158800.0
apartment,Bs.As. G.B.A. Zona Sur,La Plata,-34.933547,-57.97833000000001,107.55336630856377,105000.0
apartment,Bs.As. G.B.A. Zona Sur,Quilmes,-34.730556,-58.255442,47.19178317620655,70000.0
apartment,Bs.As. G.B.A. Zona Sur,Quilmes,-34.710423,-58.279146,93.28608302273388,221000.0
apartment,Bs.As. G.B.A. Zona Sur,Quilmes,-34.710722,-58.279496,71.33641642914944,195000.0
apartment,Bs.As. G.B.A. Zona Sur,Quilmes,-34.711032,-58.278501,88.89614970401699,134569.0
apartment,Bs.As. G.B.A. Zona Sur,Quilmes,-34.711032,-58.278501,55.971649813640326,95570.0
apartment,Bs.As. G.B.A. Zona Sur,Quilmes,-34.711032,-58.278501,80.11628306658322,149240.0
apartment,Bs.As. G.B.A. Zona Sur,Quilmes,-34.711032,-58.278501,96.57853301177155,181792.0
apartment,Bs.As. G.B.A. Zona Sur,Quilmes,-34.710722,-58.279496,87.79866637433777,221000.0
house,Bs.As. G.B.A. Zona Sur,Quilmes,-34.755226,-58.269483,32.44936195067651,250000.0
house,Santa Fe,Rosario,-32.871838000000004,-60.75727,365.0553219451108,380000.0
house,Córdoba,Punilla,-31.263585,-64.467387,189.82876741145762,71000.0
house,Córdoba,Punilla,-31.394052,-64.497924,486.7404292601477,300000.0
apartment,Capital Federal,Barracas,-34.631255,-58.370463,63.65403312139488,112522.0
apartment,Capital Federal,Almagro,-34.601773,-58.419141,40.60688319813122,81000.0
apartment,Capital Federal,Villa Urquiza,-34.584411,-58.473551,47.19178317620655,108500.0
apartment,Capital Federal,Almagro,-34.601773,-58.419141,41.70436652781044,85000.0
apartment,Capital Federal,Almagro,-34.601773,-58.419141,48.28926650588578,99000.0
apartment,Capital Federal,Barracas,-34.631255,-58.370463,63.65403312139488,96037.0
apartment,Capital Federal,Saavedra,-34.559997,-58.490305000000006,37.31443320909355,95000.0
apartment,Capital Federal,Villa Urquiza,-34.584394,-58.473423,47.19178317620655,104950.0
apartment,Capital Federal,Villa Urquiza,-34.584305,-58.47353,92.18859969305466,213435.0
apartment,Capital Federal,Barracas,-34.631255,-58.370463,63.65403312139488,114773.0
apartment,Capital Federal,Barracas,-34.631255,-58.370463,77.92131640722477,125112.0
apartment,Capital Federal,Parque Chas,-34.584818,-58.47353,88.89614970401699,195258.0
apartment,Capital Federal,Villa Urquiza,-34.58478,-58.47328100000001,47.19178317620655,106375.0
apartment,Capital Federal,Caballito,-34.617864000000004,-58.436837,44.99681651684811,89000.0
apartment,Capital Federal,Palermo,-34.592957,-58.414151,74.6288664181871,187000.0
apartment,Capital Federal,Villa Urquiza,-34.584818,-58.47344399999999,54.874166483961105,123725.0
apartment,Bs.As. G.B.A. Zona Norte,Villa Ballester,-34.548188,-58.55685,68.04396644011177,124000.0
apartment,Capital Federal,Villa Urquiza,-34.584376,-58.473401,55.971649813640326,124950.0
apartment,Capital Federal,Villa Urquiza,-34.584641,-58.473508,50.48423316524422,115643.0
apartment,Capital Federal,Parque Chas,-34.584270000000004,-58.473423,47.19178317620655,99000.0
apartment,Capital Federal,Villa Urquiza,-34.584007,-58.473471,55.971649813640326,124460.0
apartment,Capital Federal,Villa Urquiza,-34.58457,-58.47353,91.09111636337543,212290.0
apartment,Capital Federal,Villa Urquiza,-34.584534999999995,-58.473401,47.19178317620655,105311.0
apartment,Bs.As. G.B.A. Zona Norte,Villa Ballester,-34.548188,-58.55685,68.04396644011177,124000.0
